	faith_pd
A1-Placa-E2	23.056719356933346
A10-Placa-E2	19.99844330153467
A11-Placa-E2	25.611229421851718
A12-Placa-E2	23.4536974731269
A2-Placa-E2	21.267327182777464
A3-Placa-E1	24.382074306173465
A3-Placa-E2	21.047224402933473
A4-Placa-E2	19.996186147945686
A5-Placa-E2	22.079647965725265
A6-Placa-E2	23.281203886536566
A7-Placa-E2	26.48389232540658
A8-Placa-E2	19.106233066010486
A9-Placa-E2	20.24895236293493
B1-Placa-E2	27.495510921498983
B10-Placa-E2	22.669532899648313
B11-Placa-E2	23.095537661221563
B12-Placa-E2	21.932316114025646
B2-Placa-E1	30.365949406605683
B2-Placa-E2	24.844585261869213
B3-Placa-E1	19.865815945979733
B3-Placa-E2	20.57480737688137
B4-Placa-E2	26.24947452755528
B5-Placa-E2	21.85266667738624
B7-Placa-E2	20.8881126498271
B8-Placa-E2	24.434163470324556
B9-Placa-E2	23.55483418850581
C1-Placa-E1	23.009763657232597
C10-Placa-E2	20.05251413320686
C11-Placa-E2	21.617623713017267
C12-Placa-E2	21.28340218724705
C2-Placa-E1	27.047754537914237
C2-Placa-E2	20.526640428083383
C4-Placa-E2	32.12294312206264
C5-Placa-E2	21.98562371994644
C6-Placa-E2	19.949126058856905
C7-Placa-E2	26.359596688609653
C8-Placa-E2	24.72568248735046
C9-Placa-E2	27.08883780455824
D1-Placa-E1	24.397826518179755
D10-Placa-E2	20.745002552387128
D11-Placa-E2	19.271517214975958
D12-Placa-E2	27.4637095836353
D2-Placa-E1	26.1523090843838
D2-Placa-E2	21.195230937155035
D3-Placa-E2	24.30891410955192
D4-Placa-E2	28.73931544595668
D5-Placa-E2	25.489116051043784
D6-Placa-E2	20.271681685498972
D7-Placa-E2	22.603020720223498
D8-Placa-E2	19.550597526833045
D9-Placa-E2	21.51238784081154
E1-Placa-E1	24.630768749632544
E10-Placa-E2	19.34082853391044
E11-Placa-E2	24.048556456758092
E12-Placa-E2	20.022914224111197
E2-Placa-E1	26.471643518404505
E2-Placa-E2	21.18899692315253
E3-Placa-E2	19.81642652061082
E4-Placa-E2	19.969603669912917
E5-Placa-E2	21.654295114156007
E6-Placa-E2	22.973365303473713
E7-Placa-E2	23.273198581338292
E8-Placa-E2	22.044249895860535
E9-Placa-E2	18.11000495154061
F1-Placa-E1	26.953814452697696
F1-Placa-E2	27.6353864576755
F10-Placa-E2	19.903682060280836
F11-Placa-E2	22.57394567040143
F12-Placa-E2	27.932245463763046
F2-Placa-E1	19.07375373764261
F2-Placa-E2	27.522015309434956
F3-Placa-E2	20.36742507911195
F4-Placa-E2	22.96781716712617
F5-Placa-E2	19.476870288479894
F6-Placa-E2	24.121297996546005
F7-Placa-E2	19.704978969545664
F8-Placa-E2	21.829802300929934
F9-Placa-E2	20.609303468485482
G1-Placa-E1	39.24215687103862
G1-Placa-E2	22.76266267053
G10-Placa-E2	27.846475877650562
G11-Placa-E2	22.251485848959394
G12-Placa-E2	22.08316774817798
G2-Placa-E1	24.081842553002744
G2-Placa-E2	20.242092881341126
G3-Placa-E2	19.29808374123518
G4-Placa-E2	26.72348383883373
G5-Placa-E2	20.858241881727672
G6-Placa-E2	21.80809437588135
G7-Placa-E2	20.027014608850404
G8-Placa-E2	21.303093388347698
G9-Placa-E2	28.41471270472576
H1-Placa-E1	21.620726600239212
H1-Placa-E2	21.920005188459697
H10-Placa-E2	18.869049184939584
H11-Placa-E2	28.878627566849243
H2-Placa-E1	25.129031888438043
H3-Placa-E2	24.269450241856198
H4-Placa-E2	22.622251860913025
H5-Placa-E2	22.921393752005844
H6-Placa-E2	25.864254753412922
H7-Placa-E2	22.362672749652887
H8-Placa-E2	19.63634996611301
H9-Placa-E2	26.378806078819792
