	pielou_evenness
A1-Placa-E2	0.8930776513191634
A10-Placa-E2	0.9144609522457228
A11-Placa-E2	0.9114420263680719
A12-Placa-E2	0.8880153045883291
A2-Placa-E2	0.9213994799119066
A3-Placa-E1	0.8787702984722668
A3-Placa-E2	0.8948515892243158
A4-Placa-E2	0.9165930384201169
A5-Placa-E2	0.8638755774095133
A6-Placa-E2	0.890241952967918
A7-Placa-E2	0.8560599646735116
A8-Placa-E2	0.9296169710638468
A9-Placa-E2	0.9336520482667929
B1-Placa-E2	0.8987349238834657
B10-Placa-E2	0.8895732778985123
B11-Placa-E2	0.8710034557116215
B12-Placa-E2	0.9227853541988154
B2-Placa-E1	0.9288909705717537
B2-Placa-E2	0.917977900915072
B3-Placa-E1	0.929618670517855
B3-Placa-E2	0.9222752115541603
B4-Placa-E2	0.8988173107233607
B5-Placa-E2	0.8780497178521487
B7-Placa-E2	0.8913561430480016
B8-Placa-E2	0.9049022481926849
B9-Placa-E2	0.922099602016602
C1-Placa-E1	0.8520017683410402
C10-Placa-E2	0.9050984971795383
C11-Placa-E2	0.8670077411822696
C12-Placa-E2	0.9019122447105672
C2-Placa-E1	0.8895018718049493
C2-Placa-E2	0.9241609023351527
C4-Placa-E2	0.8807227338071849
C5-Placa-E2	0.9168569734091236
C6-Placa-E2	0.9339011698066887
C7-Placa-E2	0.895177184540403
C8-Placa-E2	0.9227471145052951
C9-Placa-E2	0.9216403001715148
D1-Placa-E1	0.8492472739380614
D10-Placa-E2	0.9163794198691931
D11-Placa-E2	0.8803501139292862
D12-Placa-E2	0.9114451298052321
D2-Placa-E1	0.908472900564205
D2-Placa-E2	0.9208599280988715
D3-Placa-E2	0.8842415976370189
D4-Placa-E2	0.8841062764505799
D5-Placa-E2	0.8915152851908924
D6-Placa-E2	0.9365367057989396
D7-Placa-E2	0.8899264673875044
D8-Placa-E2	0.8983948456248335
D9-Placa-E2	0.917025617750728
E1-Placa-E1	0.8981422746838331
E10-Placa-E2	0.9196485499643939
E11-Placa-E2	0.8758378192877765
E12-Placa-E2	0.9194378243123632
E2-Placa-E1	0.8694513681854729
E2-Placa-E2	0.9232683868915227
E3-Placa-E2	0.9135322258758314
E4-Placa-E2	0.919208417922929
E5-Placa-E2	0.9036587158389753
E6-Placa-E2	0.8758758738804766
E7-Placa-E2	0.8955797154238061
E8-Placa-E2	0.9114696206897926
E9-Placa-E2	0.9192500994036064
F1-Placa-E1	0.910629227449376
F1-Placa-E2	0.9027672900374989
F10-Placa-E2	0.9129800785476545
F11-Placa-E2	0.8982505696502683
F12-Placa-E2	0.9176320827673652
F2-Placa-E1	0.9259809160644052
F2-Placa-E2	0.9144673342821135
F3-Placa-E2	0.9074348755830057
F4-Placa-E2	0.902559477423808
F5-Placa-E2	0.9144878415874756
F6-Placa-E2	0.8872533271749452
F7-Placa-E2	0.9143308229002132
F8-Placa-E2	0.924641549442432
F9-Placa-E2	0.9002678731816759
G1-Placa-E1	0.875375247325535
G1-Placa-E2	0.8788800935073936
G10-Placa-E2	0.9191405240848335
G11-Placa-E2	0.9053784391605085
G12-Placa-E2	0.9134677246400991
G2-Placa-E1	0.9158302262675784
G2-Placa-E2	0.9334215442910349
G3-Placa-E2	0.9183300626044408
G4-Placa-E2	0.8819226968172384
G5-Placa-E2	0.8830989632938555
G6-Placa-E2	0.9136343629039964
G7-Placa-E2	0.9104770427094558
G8-Placa-E2	0.9079372202915936
G9-Placa-E2	0.8930470460990078
H1-Placa-E1	0.8698177148425161
H1-Placa-E2	0.9197848141619724
H10-Placa-E2	0.9192797707971797
H11-Placa-E2	0.9133555781987418
H2-Placa-E1	0.9164700954818488
H3-Placa-E2	0.8799176081604154
H4-Placa-E2	0.9045225720106633
H5-Placa-E2	0.9019741033645726
H6-Placa-E2	0.8986564298679459
H7-Placa-E2	0.8815856258908473
H8-Placa-E2	0.9008288338642348
H9-Placa-E2	0.8784925841101986
