Sample	peti	donor_donation	acetic_acid	propionic_acid	butyric_acid	shannon_entropy	chao1	fisher_alpha	margalef	gini_index	menhinick	strong	simpson	faith_pd	pielou_evenness	[Eubacterium]	[Ruminococcus]	1-68	Acidaminococcus	Acinetobacter	Adlercreutzia	AF12	Akkermansia	Alistipes	Anaerostipes	Anaerotruncus	Bacteroides	Barnesiella	Bifidobacterium	Bilophila	Blautia	Butyricicoccus	Butyricimonas	Campylobacter	Catenibacterium	cc_115	Citrobacter	Collinsella	Coprobacillus	Coprococcus	Dehalobacterium	Desulfovibrio	Dialister	Dorea	Enterobacter	Enterococcus	Epulopiscium	Faecalibacterium	Fusobacterium	Gemmiger	Gluconacetobacter	Granulicatella	Haemophilus	Hafnia	Holdemania	human	Klebsiella	Lachnobacterium	Lachnospira	Lactobacillus	Lactococcus	Megamonas	Megasphaera	Methanobrevibacter	Mitsuokella	Morganella	Odoribacter	Oscillospira	Oxalobacter	Parabacteroides	Paraprevotella	Peptococcus	Phascolarctobacterium	Porphyromonas	Prevotella	Pseudomonas	Pseudoramibacter_Eubacterium	rc4-4	RFN20	Rikenella	Roseburia	Ruminococcus	Serratia	Slackia	SMB53	Sneathia	Streptococcus	Sutterella	Synergistes	Turicibacter	Veillonella	WAL_1855D	Weissella
A1-Placa-E2	216133466	CGR32F_7th	335.535	77.305	75.76	6.81360789133701	202.666666666667	32.2192965004705	20.4871032809486	0.978459479905437	1.6166632302369	0.393331313131313	0.985497955555556	23.0567193569333	0.893077651319163	0	30	0	1076	0	0	0	250	78	72	0	14159	0	81	131	112	28	134	0	0	0	0	0	0	1451	0	0	28	51	0	0	0	2362	0	502	0	0	0	0	26	0	0	68	4880	0	0	0	0	0	0	0	541	2063	0	1061	0	0	1296	0	0	0	0	0	0	0	1284	1435	0	0	0	0	0	670	0	0	0	0	0
A10-Placa-E2	226170254	CLA33F_11th	177.055	60.304	162.521	6.6279466957516	152	23.5331964064291	15.7033126671231	0.981827832939322	1.24107480301014	0.364291228070175	0.986362711111111	19.9984433015347	0.914460952245723	0	152	0	0	0	0	0	0	510	770	0	6540	0	51	0	460	62	0	0	0	0	0	0	0	750	0	0	0	378	0	0	0	5665	0	551	0	0	96	0	0	0	0	0	1588	0	0	0	0	0	0	0	148	893	0	783	0	0	0	0	0	16	0	0	0	0	3747	705	0	0	0	0	0	238	0	0	39	0	0
A11-Placa-E2	226175993	MBD34F_3rd	43.738	22.755	24.133	7.18457215404656	236.166666666667	39.7601805410859	24.4389303097611	0.973649676910953	1.92693193098943	0.39745197740113	0.990653031111111	25.6112294218517	0.911442026368072	0	0	0	0	0	0	0	724	793	55	0	13770	0	25	52	72	83	134	0	0	0	0	0	0	1003	0	36	0	130	0	0	0	692	0	63	0	0	0	0	0	0	0	1002	2133	0	0	0	0	15	0	0	161	2282	45	1058	595	0	548	0	1365	0	0	0	0	0	1534	1040	0	0	0	0	0	416	0	0	0	0	0
A12-Placa-E2	226180072	FBG21M_4th	186.828	45.972	42.603	6.68798200163129	185	29.7131771930332	19.1351624553023	0.980880724980299	1.51051867471629	0.414625225225225	0.985226071111111	23.4536974731269	0.888015304588329	27	653	0	0	0	0	0	388	58	0	0	14629	0	85	60	439	81	132	0	0	0	0	16	0	12	0	0	1422	259	0	0	0	4330	0	1244	0	0	58	0	21	0	0	0	214	0	0	0	0	0	0	0	495	2811	8	1323	0	0	733	0	8	0	0	0	0	0	1051	2448	0	0	65	0	118	89	0	0	387	0	0
A2-Placa-E2	216133396	RTF49M_4th	52.3	14.189	16.146	6.85792426608873	176.142857142857	27.6235316052011	17.9912125259092	0.978886241134752	1.42070405081424	0.371287356321839	0.989447253333333	21.2673271827775	0.921399479911907	356	1	0	0	0	0	0	0	479	36	0	9577	0	0	0	184	105	0	0	343	0	0	0	0	408	0	0	352	56	0	16	0	2276	0	732	0	0	35	0	0	0	0	0	1704	0	0	0	0	0	0	0	483	862	0	679	633	0	0	0	0	0	0	0	0	0	1237	438	0	0	0	0	84	997	0	0	33	0	0
A3-Placa-E1	226185617	SMP48F_6th	47.03	18.593	17.575	6.64547403225239	189.333333333333	30.4801332356711	19.5511442478089	0.981087470449173	1.5431785379534	0.425666666666667	0.983496133333333	24.3820743061735	0.878770298472267	0	0	0	0	0	0	0	987	375	0	0	2328	0	387	42	0	15	184	0	0	0	0	146	0	849	0	0	278	304	0	0	0	712	0	501	0	0	0	0	0	0	0	0	522	0	0	0	0	0	0	0	191	1394	32	580	511	0	0	0	5778	0	0	0	0	0	992	758	0	0	0	0	0	0	0	0	0	0	0
A3-Placa-E2	216136699	RTF49M_10th	368.794	130.632	87.098	6.41601878215981	144.75	22.0765424233851	14.8713490821099	0.984270260047281	1.17575507653593	0.404088888888889	0.98345552	21.0472244029335	0.894851589224316	69	19	0	0	0	0	0	0	0	240	0	13439	0	0	0	68	0	0	0	102	0	0	16	0	80	0	0	673	19	0	0	0	2351	0	283	0	0	190	0	0	0	0	0	1173	0	0	0	0	0	0	0	172	1330	0	1384	709	0	330	0	0	0	0	0	0	0	820	66	0	0	0	0	12	1082	0	0	61	0	0
A4-Placa-E2	216139548	RTF49M_15th	131.285	36.449	82.125	6.51562403052201	138	20.9952776350204	14.2473763933501	0.983216327817179	1.12676528168026	0.358347826086957	0.985854266666667	19.9961861479457	0.916593038420117	191	35	0	0	0	0	0	0	740	399	0	7175	0	33	0	193	67	0	0	285	0	0	0	0	76	0	0	1022	98	0	0	0	2370	0	439	0	0	0	0	0	0	0	0	2538	0	0	0	0	0	0	0	363	1444	0	526	820	0	70	0	0	0	0	0	0	0	1066	175	0	0	0	0	73	0	0	8	71	0	0
A5-Placa-E2	216142212	EDR39F_1st	126.031	67.067	57.832	6.35600948630997	164	25.749261653742	16.9512580446428	0.983574783293932	1.33905439272147	0.422343089430894	0.976404222222222	22.0796479657253	0.863875577409513	0	129	0	0	0	0	0	387	1147	37	0	13484	0	0	377	104	0	0	330	0	0	0	0	21	1302	0	0	815	65	0	0	0	439	0	73	0	0	0	0	21	0	0	0	1537	0	0	0	0	0	0	0	550	4000	0	0	0	0	0	0	0	0	0	0	0	158	1008	972	0	0	0	0	0	0	0	0	0	0	0
A6-Placa-E2	216144512	ATH27F_1st	66.993	32.342	25.33	6.82400361707006	204.2	33.1934566634975	21.0070805215819	0.979064523246651	1.65748805928328	0.42183908045977	0.986543706666667	23.2812038865366	0.890241952967918	0	0	0	0	0	0	0	0	516	40	0	5188	0	0	0	17	16	114	0	37	0	0	0	0	0	6	140	14	116	0	0	0	1305	0	130	0	0	37	0	0	0	0	340	744	0	0	0	510	0	465	0	241	2242	19	926	207	0	1238	0	9232	0	0	0	0	0	415	443	0	0	0	0	51	257	0	6	36	0	0
